Month,Age,Gender
January,18,F
January,19,M
January,20,F
January,21,M
January,22,F
January,23,M
January,24,M
January,25,F
January,26,M
January,27,F
January,28,M
January,29,F
January,30,M
January,31,M
January,32,M
January,33,F
January,34,M
January,35,M
January,36,M
January,37,F
January,38,M
January,39,F
January,40,M
January,41,F
January,42,M
January,43,F
January,44,M
January,45,F
February,18,M
February,19,F
February,20,M
February,21,F
February,22,M
February,23,M
February,24,F
February,25,M
February,26,M
February,27,F
February,28,M
February,29,M
February,30,M
February,31,M
February,32,F
February,33,M
February,34,M
February,35,F
February,36,F
February,37,F
February,38,M
February,39,F
February,40,M
February,41,F
February,42,F
February,43,M
February,44,F
February,45,M
March,18,F
March,19,M
March,20,F
March,21,F
March,22,M
March,23,M
March,24,F
March,25,F
March,26,M
March,27,M
March,28,M
March,29,F
March,30,F
March,31,M
March,32,F
March,33,M
March,34,F
March,35,M
March,36,M
March,37,M
March,38,F
March,39,M
March,40,M
March,41,M
March,42,F
March,43,F
March,44,F
March,45,F
April,18,M
April,19,F
April,20,M
April,21,F
April,22,F
April,23,F
April,24,M
April,25,M
April,26,M
April,27,M
April,28,F
April,29,F
April,30,M
April,31,M
April,32,M
April,33,F
April,34,F
April,35,F
April,36,M
April,37,F
April,38,F
April,39,F
April,40,F
April,41,F
April,42,M
April,43,F
April,44,F
April,45,M
May,18,M
May,19,F
May,20,M
May,21,F
May,22,M
May,23,M
May,24,M
May,25,F
May,26,M
May,27,F
May,28,F
May,29,M
May,30,F
May,31,F
May,32,F
May,33,F
May,34,M
May,35,M
May,36,M
May,37,F
May,38,M
May,39,F
May,40,M
May,41,M
May,42,M
May,43,M
May,44,M
May,45,F
June,18,M
June,19,M
June,20,M
June,21,F
June,22,F
June,23,M
June,24,F
June,25,M
June,26,F
June,27,M
June,28,M
June,29,F
June,30,M
June,31,F
June,32,M
June,33,M
June,34,F
June,35,F
June,36,F
June,37,F
June,38,F
June,39,F
June,40,F
June,41,M
June,42,M
June,43,M
June,44,F
June,45,F
July,18,M
July,19,M
July,20,M
July,21,F
July,22,F
July,23,F
July,24,M
July,25,F
July,26,M
July,27,F
July,28,F
July,29,M
July,30,M
July,31,M
July,32,M
July,33,F
July,34,M
July,35,M
July,36,M
July,37,M
July,38,F
July,39,M
July,40,M
July,41,F
July,42,M
July,43,M
July,44,M
July,45,M
August,18,M
August,19,F
August,20,M
August,21,F
August,22,M
August,23,F
August,24,F
August,25,M
August,26,F
August,27,F
August,28,M
August,29,M
August,30,M
August,31,F
August,32,F
August,33,M
August,34,M
August,35,F
August,36,M
August,37,F
August,38,M
August,39,F
August,40,F
August,41,F
August,42,M
August,43,F
August,44,M
August,45,F
September,18,M
September,19,M
September,20,M
September,21,F
September,22,F
September,23,F
September,24,M
September,25,F
September,26,F
September,27,M
September,28,F
September,29,F
September,30,M
September,31,M
September,32,M
September,33,F
September,34,F
September,35,M
September,36,F
September,37,F
September,38,F
September,39,M
September,40,M
September,41,M
September,42,F
September,43,F
September,44,F
September,45,M
October,18,M
October,19,M
October,20,F
October,21,F
October,22,F
October,23,M
October,24,M
October,25,M
October,26,M
October,27,F
October,28,F
October,29,M
October,30,M
October,31,F
October,32,M
October,33,M
October,34,M
October,35,M
October,36,F
October,37,M
October,38,F
October,39,M
October,40,F
October,41,F
October,42,M
October,43,F
October,44,M
October,45,F
November,18,M
November,19,F
November,20,M
November,21,F
November,22,F
November,23,M
November,24,F
November,25,M
November,26,F
November,27,M
November,28,M
November,29,F
November,30,M
November,31,F
November,32,F
November,33,M
November,34,F
November,35,F
November,36,F
November,37,M
November,38,M
November,39,F
November,40,F
November,41,M
November,42,F
November,43,M
November,44,F
November,45,M
December,18,M
December,19,F
December,20,M
December,21,F
December,22,F
December,23,F
December,24,M
December,25,M
December,26,F
December,27,M
December,28,F
December,29,F
December,30,M
December,31,F
December,32,M
December,33,F
December,34,F
December,35,M
December,36,F
December,37,M
December,38,F
December,39,M
December,40,M
December,41,F
December,42,M
December,43,M
December,44,M
December,45,F
